Device Name,Version Number
FortiGateRugged-35D,6.2.16
FortiGate-30E,6.2.16
FortiWiFi-30E,6.2.16
FortiGate-40F,7.2.10
FortiWiFi-40F,7.2.10
FortiGate-40F-3G4G,7.2.10
FortiWiFi-40F-3G4G,7.2.10
FortiGate-50E,6.2.16
FortiWiFi-50E,6.2.16
FortiGate-51E,6.2.16
FortiWiFi-51E,6.2.16
FortiGate-52E,6.2.16
FortiGate-60E,7.2.10
FortiWifi-60E,7.2.10
FortiGate-60F,7.2.10
FortiWiFi-60F,7.2.10
FortiGate-61F,7.2.10
FortiWiFi-61F,7.2.10
FortiGateRugged-60F,7.2.10
FortiGateRugged-60F-3G4G,7.2.10
FortiGate-70F,7.2.10
FortiGate-71F,7.2.10
FortiGateRugged-70F,7.2.10
FortiGateRugged-70F-3G4G,7.2.10
FortiGate-80E,7.2.10
FortiGate-81E,7.2.10
FortiGate-80F,7.2.10
FortiGate-81F,7.2.10
FortiGate-90E,7.2.10
FortiGate-91E,7.2.10
FortiGate-90G,7.2.10
FortiGate-91G,7.2.10
FortiGate-98D,6.0.18
FortiGate-100E,7.2.10
FortiGate-101E,7.2.10
FortiGate-100F,7.2.10
FortiGate-101F,7.2.10
FortiGate-120G,7.2.10
FortiGate-121G,7.2.10
FortiGate-140E,7.2.10
FortiGate-200E,7.2.10
FortiGate-200F,7.2.10
FortiGate-201E,7.2.10
FortiGate-201F,7.2.10
FortiGate-240D,6.0.18
FortiGate-280D,6.0.18
FortiGate-300E,7.2.10
FortiGate-301E,7.2.10
FortiGate-400E,7.2.10
FortiGate-400E-BYPASS,7.2.10
FortiGate-401E,7.2.10
FortiGate-400F,7.2.10
FortiGate-401F,7.2.10
FortiGate-500E,7.2.10
FortiGate-501E,7.2.10
FortiGate-600E,7.2.10
FortiGate-600F,7.2.10
FortiGate-601E,7.2.10
FortiGate-601F,7.2.10
FortiGate-800D,7.2.10
FortiGate-900D,7.2.10
FortiGate-900G,7.2.10
FortiGate-901G,7.2.10
FortiGate-1000D,7.2.10
FortiGate-1000F,7.2.10
FortiGate-1001F,7.2.10
FortiGate-1100E,7.2.10
FortiGate-1101E,7.2.10
FortiGate-1200D,7.0.15
FortiGate-1500D,7.2.10
FortiGate-1500DT,7.2.10
FortiGate-1800F,7.2.10
FortiGate-1801F,7.2.10
FortiGate-2000E,7.2.10
FortiGate-2200E,7.2.10
FortiGate-2201E,7.2.10
FortiGate-2500E,7.2.10
FortiGate-2600F,7.2.10
FortiGate-2601F,7.2.10
FortiGate-3000D,7.2.10
FortiGate-3000F,7.2.10
FortiGate-3001F,7.2.10
FortiGate-3100D,7.2.10
FortiGate-3200D,7.2.10
FortiGate-3200F,7.2.10
FortiGate-3201F,7.2.10
FortiGate-3300E,7.2.10
FortiGate-3301E,7.2.10
FortiGate-3400E,7.2.10
FortiGate-3401E,7.2.10
FortiGate-3500F,7.2.10
FortiGate-3501F,7.2.10
FortiGate-3600E,7.2.10
FortiGate-3601E,7.2.10
FortiGate-3700D,7.2.10
FortiGate-3700F,7.2.10
FortiGate-3701F,7.2.10
FortiGate-3800D,7.0.15
FortiGate-3815D,6.4.15
FortiGate-3960E,7.2.10
FortiGate-3980E,7.2.10
FortiGate-4200F,7.2.10
FortiGate-4201F,7.2.10
FortiGate-4400F,7.2.10
FortiGate-4401F,7.2.10
FortiGate-4800F,7.2.10
FortiGate-4801F,7.2.10
FortiGate-5001D,6.4.15
FortiGate-5001E,7.2.10
FortiGate-5001E1,7.2.10
FortiGate-6000F / 7000E / 7000F,7.2.10
FortiGate-VM64    -        all versions,7.2.10